"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"GMPPB",0.285142387749717,4.87565345302527,6.41278184497435,0.0124994448421464,0.0222117938935218,1
"TRAM1",0.310316031944561,5.59157844349689,6.41183512198416,0.0125057636344439,0.0222179255496161,1
"RIC8B",-0.232942045250738,2.8619236278362,6.41187087982272,0.0125062952003463,0.0222179255496161,1
"ADAP1",0.342442488653441,7.00107660022842,6.40898243413659,0.0125249103975067,0.0222479721249541,1
"ZNF224",0.266830574838173,4.66815497632368,6.40837296363539,0.0125290601266326,0.0222523190453986,1
"HDAC10",-0.237119170719715,6.12198243419725,6.40713583304932,0.0125373274928191,0.0222638667215308,1
"NSFL1C",0.327117472970173,7.20725791243308,6.40689173829793,0.0125389688551789,0.0222638667215308,1
"HSPA14",0.295737497341477,2.4886915410303,6.40404524503314,0.0125595016578428,0.0222972951192619,1
"TOX",-0.419991762407695,2.25255249280113,6.40177659993548,0.0125754327289694,0.0223225459415497,1
"NDUFS6",0.366156359232089,5.26054798835785,6.39704881663936,0.0126053985224431,0.0223710119749671,1
"AGAP6",-0.297735063172437,4.14666200552334,6.39695207320706,0.0126061593875771,0.0223710119749671,1
"IGHMBP2",0.289376364268586,5.13556471446894,6.3964378949148,0.012609535722947,0.0223739657750363,1
"H6PD",0.27661049343187,6.33212162067307,6.39271606351977,0.0126347257140478,0.0224156189877296,1
"PTCRA",0.631086274161974,3.35012176762185,6.39099486033551,0.0126468160894423,0.0224340236548604,1
"TUBGCP5",-0.290930810691584,2.32519880498761,6.39055261353999,0.0126511730636349,0.0224387070079668,1
"IFT46",-0.187131296899345,2.73272455626744,6.38948068872668,0.0126576433421424,0.0224471368360653,1
"C1orf74",0.265068903235027,0.926478487303212,6.38676467197479,0.0126864653087535,0.0224951976102846,1
"PPP1R3F",-0.223474008113755,2.79462009897287,6.38234035899904,0.0127061693679789,0.0225270799836523,1
"PCF11",0.306639231269995,5.91246430735628,6.37904280340221,0.0127278102680263,0.0225623871155708,1
"GMPR",0.804541361912412,6.41861430661094,6.37781047645613,0.012736233972967,0.0225742579368971,1
"ZNF616",-0.203332811823602,2.47447573737193,6.3776177091687,0.0127389472216241,0.0225760054490341,1
"SNRPA",-0.253141259597795,5.71404598452113,6.37634411293643,0.0127462733513441,0.0225859263424711,1
"CYP4F22",-0.634822945017785,1.43899331026574,6.37627207660338,0.0127533390779041,0.0225953831839781,1
"ZNF444",-0.231522372862985,4.88442733346675,6.37333155364644,0.0127669352065828,0.0226164059569039,1
"ZMYND15",0.488483775859903,2.63129254126688,6.37087591271839,0.0127849125986726,0.0226451833127321,1
"MACROD1",-0.403291811191808,0.698060670620511,6.37126181290804,0.0127951909253979,0.0226603178041939,1
