"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"LHX4",1.53590515644492,2.73987479437954,36.5504488739639,2.92715004301809e-07,2.26041678212531e-06,0.00568042737348091
"MAU2",0.807854917786332,7.2679118928391,36.4688741679784,2.93485930935418e-07,2.26546856632169e-06,0.00569538797573273
"FAHD2A",-1.17131696131517,3.32748878655004,36.4898472838723,2.94120825020201e-07,2.26885808031084e-06,0.00570770873034201
"CD28",-1.6743954188638,4.53014719856955,36.4675652194421,2.94214530936006e-07,2.26885808031084e-06,0.00570952718734414
"SNPH",-1.3857416910392,3.17085233919731,36.5019441380707,2.94275780075358e-07,2.26885808031084e-06,0.0057107157881424
"PABPC4",-0.793795774716438,6.08386794158188,36.4555913341087,2.9462200133137e-07,2.27062532082469e-06,0.00571743455783656
"SLC39A1",0.765862041833633,6.34827728387139,36.4460947163676,2.95378820861122e-07,2.2755543460226e-06,0.00573212139763094
"FAM219A",0.784969058878383,4.97681652563161,36.4437706694782,2.95706523191284e-07,2.2771749162897e-06,0.00573848078905005
"EBNA1BP2",-1.13114521040402,3.75980897397647,36.4541298962449,2.95936405619627e-07,2.27804120882764e-06,0.00574294188745448
"PDCD2L",-1.8567939113236,0.803888260815295,36.0423138912599,2.97362440335203e-07,2.28811083154043e-06,0.00577061551714496
"PRCP",1.04614554137503,6.96595821866203,36.4110802197261,2.9829072596182e-07,2.29434396671228e-06,0.00578862982801509
"TRIM8",0.852394131521666,7.57352689919696,36.3963011467194,2.99524823373374e-07,2.30292342408229e-06,0.00581257872238369
"PRKCQ",-0.98716047661193,4.52529843161176,36.3764907377561,3.01528236130579e-07,2.31693973041826e-06,0.00585145695035002
"EXOSC2",-1.23004268651278,3.57821949773493,36.3925270100431,3.01586610277055e-07,2.31693973041826e-06,0.00585258975903654
"ASAH1",1.03733392738506,7.84689063335719,36.368325046024,3.01887314946843e-07,2.31833210679004e-06,0.00585842523385843
"APBB2",2.36294549905136,1.05987338378723,35.7517469899907,3.02251115362652e-07,2.32020773130048e-06,0.00586548514472762
"SEC16A",1.12101651342459,7.30207388389812,36.3510894781572,3.03356740577491e-07,2.32777418254124e-06,0.0058869409076468
"IFRD1",1.39422743747041,5.92098859192467,36.3338287081883,3.04881621932989e-07,2.33855049613897e-06,0.00591653275523158
"DGKD",1.0329204661581,7.49803449526843,36.2855358595453,3.08994458524782e-07,2.3691609885942e-06,0.00599634646213192
"HVCN1",-1.16274522976007,5.46332931026953,36.2841612403767,3.09217478069461e-07,2.36993458902684e-06,0.00600067437941595
"RAB3GAP2",1.24408528687756,4.99684155735074,36.2709468940527,3.1046935186488e-07,2.37858991010259e-06,0.00602496824228985
"ARF1",0.831898050166397,8.80050950675495,36.2607753394532,3.1115295956933e-07,2.3828864772701e-06,0.00603823433340242
"PHF20L1",1.35014447865839,6.30091874255309,36.2315101514465,3.13756931627058e-07,2.4016134400912e-06,0.0060887670151547
"SET",-0.674233728189212,6.95623034180229,36.2301671930381,3.1384580460019e-07,2.4016134400912e-06,0.00609049168407129
"ZNF446",-0.977854529411539,3.0061908444814,36.2619261360006,3.14564116549858e-07,2.40616131090522e-06,0.00610443124576654
"CPQ",1.10222403035676,6.26657671308037,36.1911352256826,3.17336561507544e-07,2.42641186470268e-06,0.00615823331261539
"APOBEC3C",-0.986769694276739,6.37849016642957,36.1866582804878,3.17746824465187e-07,2.42800519334972e-06,0.00616619487557142
"FKBP3",-0.908869794549474,3.61670207569793,36.2011716727908,3.17795176291265e-07,2.42800519334972e-06,0.00616713319110828
"NACC2",1.09610287764196,6.53201835184784,36.1839357502242,3.17969552620673e-07,2.42838140029783e-06,0.00617051713815679
"CAMTA2",0.752604955804523,7.36371483996376,36.1738896572037,3.18856811867775e-07,2.43419956377106e-06,0.00618773529110604
"IVD",-0.862965263446747,4.79942765262701,36.1723748787679,3.19214684699096e-07,2.43597332727906e-06,0.00619468017127065
"PSMA2",-1.26766277922422,4.55530975089446,36.1727448581795,3.194068633677e-07,2.43648175727735e-06,0.00619840959051358
"DDX47",-0.806691165242933,3.89198837945395,36.1588623420101,3.21072915699067e-07,2.44822829157411e-06,0.0062307410020561
"TMEM50A",0.703946948809369,6.18910620497163,36.1404680427838,3.21889431340472e-07,2.45349030031155e-06,0.00624658630459321
"CIRBP",-0.774322427105553,8.01479888198191,36.1330402601587,3.22546515849542e-07,2.45753344584853e-06,0.00625933768657621
"HMGB1",-0.860719138441787,6.62998937860174,36.1177593094073,3.2394674619102e-07,2.46723334245798e-06,0.00628651055658293
"ISYNA1",-1.2864262433206,4.03851431320956,36.1180156144529,3.24908710890919e-07,2.47358903238493e-06,0.00630517844354918
"NXPE3",0.854591854128555,5.09943524539572,36.1035703005906,3.25375635371528e-07,2.47617238432152e-06,0.00631423958001986
"CFAP97D2",-2.25030315934012,0.304121063662425,34.400153846451,3.25625631499309e-07,2.47710349073916e-06,0.00631909100487559
"CA6",-1.99621851170557,1.61968670263706,36.2357363718117,3.26014988855081e-07,2.47909360255553e-06,0.00632664687372171
"PLRG1",-0.85203688717975,4.24643829913073,36.0956079374834,3.26490261038659e-07,2.48173521571336e-06,0.00633587000571622
"METTL18",-1.72831301662485,0.986483176111388,35.9958779582983,3.29011602554841e-07,2.49992136224716e-06,0.00638479915917924
"RAPGEF2",1.3197884118238,5.53395305860538,36.044625798647,3.30800440974169e-07,2.51252968984138e-06,0.00641951335754472
"POLR3K",-1.11401470953336,2.69471241885681,36.1064087786217,3.31187296960933e-07,2.51448383600308e-06,0.00642702068482386
"SLC4A1AP",0.74402382241771,5.18552467106756,36.0386600840942,3.31361230031842e-07,2.51482050449665e-06,0.00643039602999792
"CYBB",1.26468236795575,9.19040402766093,36.0358151499226,3.31510302022007e-07,2.51496830376821e-06,0.00643328892103907
"FIZ1",-0.892219050418971,3.68330799382773,36.0460705370403,3.31847546695971e-07,2.51654298209536e-06,0.00643983349118202
"MRPL2",-1.24100461443592,3.77268802163997,36.045591009169,3.32056788175667e-07,2.51714610599101e-06,0.006443894031337
"IMMP2L",-1.81543382601293,1.13548423655124,35.9927258639309,3.33789235441358e-07,2.52929086410582e-06,0.006477513902975
"MYBPC3",1.54037672979823,4.80813790348335,36.0120364516629,3.34114491196641e-07,2.53076729748712e-06,0.00648382581616201
"FAM174C",-1.31864512649299,5.08396779369166,36.0067028889267,3.34451918125725e-07,2.53195142174619e-06,0.00649037392314781
"C22orf31",3.67773808654675,-1.50423064136018,33.9333825111143,3.34531765709431e-07,2.53195142174619e-06,0.00649192344535722
"KPNA6",0.636804357425251,6.21054556536877,35.9962149507839,3.35253728094719e-07,2.53642645123045e-06,0.00650593384740611
"PAFAH2",-0.976759101256691,4.09161305927528,36.0009993821831,3.35526971462296e-07,2.53750444590699e-06,0.00651123640819732
"PAQR8",-0.946859007703093,3.87321067196719,35.9521474894352,3.40442025994762e-07,2.57367275280652e-06,0.00660661795645435
"RAD9A",-0.762162428879922,5.61841465783563,35.9019340153111,3.44354589251817e-07,2.60126159483521e-06,0.00668254515902076
"KMT5B",0.709296328907855,5.53559041457581,35.9020656744745,3.44359529894448e-07,2.60126159483521e-06,0.00668264103713167
"UBE2G1",0.717330632398396,5.32101418525287,35.8944095325947,3.45124545810435e-07,2.60602604513514e-06,0.0066974869359973
"C19orf53",-1.2205248651183,4.9979071998495,35.894170729656,3.45262605693673e-07,2.60605450256376e-06,0.00670016612609142
"PTPN9",0.83532144332876,4.55353843195363,35.8916860116727,3.45601672983257e-07,2.60759955906419e-06,0.00670674606591309
"PDLIM5",1.04929260232796,4.65610776226539,35.8835585002644,3.4639868888133e-07,2.6125973402375e-06,0.0067222129564311
"CLMN",1.22858264532094,5.72189598670552,35.8656178603855,3.47913752099747e-07,2.6230047681615e-06,0.00675161427324769
"CCNI2",-1.8800494859731,0.292194540692355,34.6248889556314,3.48654976283102e-07,2.62757222126209e-06,0.00676599846974988
"MPP1",1.40985110438591,8.19613592612433,35.8465031801849,3.49721511587625e-07,2.63458682215429e-06,0.00678669565386945
"ABCB1",-1.35408973927424,2.34466344312284,35.9486415589326,3.51030317539353e-07,2.64342038888968e-06,0.00681209434216869
"MAN1C1",-1.4412732969554,3.69414342722733,35.8326684017385,3.5308777087207e-07,2.65745244918304e-06,0.00685202128154339
"NUDT14",-1.43442628899443,2.46028125808149,35.9201755476002,3.5321010228329e-07,2.65745244918304e-06,0.00685439524490952
"PJA1",-1.11802713387445,3.19224160235554,35.8429791928586,3.53304509888295e-07,2.65745244918304e-06,0.00685622731889224
"N4BP3",-1.54451004847612,2.16604939731524,35.9455699017306,3.54700292213462e-07,2.66691742374833e-06,0.00688331387069445
"SLC22A14",2.69182121860597,-0.733594228054514,31.765184068105,3.56527696967659e-07,2.67961908882819e-06,0.00691877648735439
"CELF3",0.916363968098407,5.12929767827492,35.7728268503841,3.5724537425299e-07,2.68324897420021e-06,0.00693270373275353
"GLTPD2",1.96129850654152,0.844777702791484,35.3922916669905,3.57287197224227e-07,2.68324897420021e-06,0.00693351534933336
"ACTR5",-0.847391021816832,2.87309888826603,35.8040474562258,3.58297830549812e-07,2.68979794957433e-06,0.00695312769964965
"LRPPRC",-0.987928376779239,4.77713846694364,35.7577704998919,3.58893076252473e-07,2.69322468590699e-06,0.00696467903775549
"OMG",2.02538214811912,1.83869659343092,35.8350224839975,3.5975732921322e-07,2.69851448693954e-06,0.00698145073071175
"TANK",1.21067437666383,5.76825993079933,35.7460533013412,3.59876094620196e-07,2.69851448693954e-06,0.00698375549219953
"ACE2",3.76196963401404,-1.43046778108045,33.849816729282,3.62044707610918e-07,2.71292223771904e-06,0.00702583959589747
"GLYR1",0.735025399061699,7.10048955079492,35.7234882864608,3.62116696346014e-07,2.71292223771904e-06,0.00702723660929076
"CD74",-1.52463754720335,11.4990772310886,35.7224762142287,3.62216918372155e-07,2.71292223771904e-06,0.00702918151793004
"CD300LD",3.41451041974287,1.91586499107047,34.970174675341,3.63227749266686e-07,2.71844226534278e-06,0.0070487977022693
"ITCH",1.04462841982403,6.16177718075274,35.7129056544068,3.63234092241257e-07,2.71844226534278e-06,0.00704892079403382
"NDUFA4",-1.5613243110513,3.97243342258534,35.7210050475651,3.63909542666466e-07,2.72244741132823e-06,0.00706202858498544
"MLLT6",-0.902872960180932,7.79586186184318,35.695610658907,3.64985462516599e-07,2.72944427190641e-06,0.00708290788559712
"ETFDH",0.91890555672338,3.92648938188016,35.6959545750921,3.65851422861567e-07,2.73486622189968e-06,0.00709971271205156
"MTRFR",-0.934539642394707,3.22470127514241,35.6910360640721,3.6829595606617e-07,2.75207983189068e-06,0.0071471513234201
"CCND2",-1.03249891486706,5.76487921543189,35.6571309560561,3.69059141830758e-07,2.75672121107302e-06,0.0071619617063677
"PIAS1",0.828117619697653,6.51033598424673,35.6540160655991,3.69327741486167e-07,2.7576660836016e-06,0.00716717415128055
"GCDH",-0.794150367518322,4.06951357739268,35.6400931717702,3.71533054861599e-07,2.77248588324952e-06,0.00720997046264418
"SRRT",-0.663772888635556,6.68757681807986,35.6323195877356,3.71598257360198e-07,2.77248588324952e-06,0.00721123578233201
"MRPL20",-0.909881171053587,4.91997484762019,35.6307363966008,3.71965712909997e-07,2.7741608857538e-06,0.0072183666247314
"SCN1B",1.70192427253772,3.57737830238098,35.6489736422334,3.72781718064786e-07,2.77917864800816e-06,0.00723420202076524
"PPP1R14B",-1.13149612045672,4.28055767162244,35.625500490243,3.73015250307489e-07,2.77985174633914e-06,0.00723873394746713
"PSMG4",-0.975842475616802,2.80110249436568,35.6513945969687,3.74987025088656e-07,2.79347340071803e-06,0.00727699820887046
"SPTAN1",-0.7546313759132,7.36907930829783,35.5945180958162,3.75600953882527e-07,2.79697318152123e-06,0.00728891211104433
"MMAB",-1.41489318204393,2.60348750384896,35.664460908913,3.77660906650985e-07,2.81123419810856e-06,0.00732888755446901
"ANKRD9",1.80474068639123,4.6260874395604,35.5761358231712,3.78290098650817e-07,2.81483805767552e-06,0.00734109765441775
"PACS2",-0.686612208620273,5.22086768991258,35.5690814408256,3.78461808905333e-07,2.81503636014446e-06,0.00734442986361688
"BMP2K",1.35543050953837,5.11631714438687,35.5598687456301,3.79542928811508e-07,2.82078812852258e-06,0.00736541007651613
"CACNA2D2",-1.70073394412262,3.1036866707056,35.6149998511644,3.79558348838438e-07,2.82078812852258e-06,0.00736570931755873
"TTC22",-1.11355699368183,3.51713541064779,35.5764241104908,3.7967116313001e-07,2.82078812852258e-06,0.00736789859170097
"MBD2",0.720196043128689,6.75209565294973,35.5505344498188,3.80327432146424e-07,2.82458252898335e-06,0.0073806341482335
"MICU1",0.999616697296705,6.41169435549225,35.5439539472033,3.81047332474895e-07,2.82884641698845e-06,0.00739460453400781
"ELF4",0.713765164965746,7.60329692587882,35.5401333015487,3.81444270601464e-07,2.83071033089561e-06,0.00740230751529201
