"GeneSymbol","logFC","logCPM","F","PValue","FDR","Bonferroni_pvalue"
"HELZ2",2.98255959652396,8.87057937935937,230.51423531129,1.22370225789876e-20,2.80592780890119e-18,1.59937885107368e-16
"IFIT2",4.81296248328596,10.2546784983928,229.735744053248,1.31424153695474e-20,2.96157532551696e-18,1.71771368879984e-16
"MX1",4.54068332710245,10.5646116488022,229.040897679364,1.40092062044136e-20,3.10339534053705e-18,1.83100325091686e-16
"DTX3L",2.17814819803287,7.66106838441236,228.007600547781,1.54098385001206e-20,3.3567764866096e-18,2.01406589196576e-16
"DRC1",3.06883943920558,-0.32352047333079,170.633517145388,1.83045508754933e-20,3.92197508102783e-18,2.39240479942697e-16
"DHX58",3.23760378658664,7.65084719953439,224.119867707592,2.21266683281662e-20,4.66444443627632e-18,2.89195555049132e-16
"PARP9",2.7634145503887,8.47695890064461,223.919666487801,2.25438179417052e-20,4.67694762695377e-18,2.94647700498088e-16
"IFITM1",2.85051904937089,11.1762964078863,221.90816013061,2.72417700612616e-20,5.56000641481996e-18,3.56049934700689e-16
"TPD52L1",3.87242410014478,-0.222614067254313,148.51077934229,2.76511413131827e-20,5.56000641481996e-18,3.61400416963297e-16
"PIWIL3",3.22077132624347,0.00966112272123238,175.337734595902,4.34187362821522e-20,8.59822550314742e-18,5.6748288320773e-16
"DDIT3",1.8000295628086,4.49743483883719,214.634487163791,5.48172131595727e-20,1.06934474029196e-17,7.16460975995615e-16
"IFIH1",3.48860068142597,6.75597882256407,214.077057016176,5.77540012406772e-20,1.11006587678772e-17,7.54844796215651e-16
"EEF2",-1.45377327487664,11.0586235332668,212.237151981105,6.90528861617337e-20,1.30800177120849e-17,9.02521222133859e-16
"PABPC4",-1.19905165706628,6.41156403077299,210.71832420251,8.01756088701712e-20,1.4969931541902e-17,1.04789520793314e-15
"IFI16",2.1941779955163,9.22058031552589,209.768887775909,8.80371435914612e-20,1.62062741794422e-17,1.1506454667404e-15
"DDX60L",3.3633089922342,7.5465885897096,207.976191189277,1.05197581470276e-19,1.90962831918959e-17,1.3749323898165e-15
"UNC93B1",2.15917586766202,8.2284890260582,207.603698351176,1.09150999322781e-19,1.95425145362843e-17,1.42660356114875e-15
"SPATS2L",4.80251488121128,6.50999756332596,206.941305421296,1.17310109497958e-19,2.07195017721394e-17,1.53324313113831e-15
"APOBEC3A",2.76164820255773,9.61524474401953,206.248983225345,1.24979685412024e-19,2.17797931778021e-17,1.63348448833516e-15
"IFI35",3.18324226053509,8.26980244598813,205.721772238665,1.31770516820552e-19,2.26610612479554e-17,1.72224065484461e-15
"SAT1",2.48787201098761,9.59494234062974,203.104774741892,1.71612502162394e-19,2.91295506917206e-17,2.24297540326248e-15
"SAMD9L",3.17754611007924,8.19115681139569,202.753072273617,1.77855094835973e-19,2.98021293526432e-17,2.32456608950617e-15
"TCN2",3.71440289418239,6.29712278462259,198.979733162642,2.62208367367445e-19,4.3380548879652e-17,3.42706336149251e-15
"VSIG10L",2.85112114143583,1.9971681128975,200.405974591583,2.91369215194889e-19,4.7602445532465e-17,3.8081956425972e-15
"QARS1",-1.05265914767898,7.30526860725186,197.538467772856,3.03805023754542e-19,4.90213785243439e-17,3.97073166047186e-15
"TOR1A",1.18830910963194,5.88769625263213,197.417395146057,3.07704696606251e-19,4.90451266419964e-17,4.02170038464371e-15
"HERC5",4.52670767499203,8.19432063283644,197.066221667192,3.1924426989924e-19,5.02713567178683e-17,4.17252260758307e-15
"IL27",3.99193207685419,2.548954202716,198.19058716071,3.72622444931525e-19,5.79782780387503e-17,4.87017535525503e-15
"TRIM38",1.88940877421683,7.87694126668109,195.279919241828,3.84443434104512e-19,5.9113831573482e-17,5.02467568374597e-15
"TIMM10",3.15580006927475,5.67027080527408,194.766014243901,4.06549974059089e-19,6.1786141406422e-17,5.31360816095229e-15
"STAC3",1.94119951213019,5.20146269534241,194.537085343268,4.16094100527295e-19,6.19756115922953e-17,5.43834989389174e-15
"CTSL",2.88902139094264,5.26548610074259,194.524498211662,4.1728032288615e-19,6.19756115922953e-17,5.45385382012198e-15
"JUNB",1.88984012696711,8.66137226463988,192.830587415356,4.97480060732373e-19,7.30569033008103e-17,6.50206439377212e-15
"ADAMTS2",5.62124759341022,2.50003642584349,169.238951034104,5.04767602717407e-19,7.33034729724057e-17,6.59731256751652e-15
"SCO2",2.98315301929257,7.75570461235546,190.969636637726,6.06186966671971e-19,8.70644357626666e-17,7.92286365440266e-15
"TNFSF13B",3.24315082803324,7.09146975163978,190.618097680924,6.2961264807206e-19,8.94460577206719e-17,8.22903731030182e-15
"RUFY4",3.51016642573291,4.42114573355395,190.608401266074,6.42914117338477e-19,9.03536291786441e-17,8.4028875136139e-15
"CCL8",6.74109086353836,1.62314244457658,125.449489883838,6.640792281482e-19,9.23352714031593e-17,8.67951551189698e-15
"RNF135",1.1489469773655,5.92487897701219,189.959988594159,6.75308694633059e-19,9.29082593563587e-17,8.82628463885408e-15
"TRIM5",2.60453836803556,5.97218361319881,189.313399765856,7.24253645501876e-19,9.86041161115575e-17,9.46599514670952e-15
"TRAF1",-1.61209385126946,6.29623889093454,186.604116119374,9.69705512532638e-19,1.30660320090738e-16,1.26740510488016e-14
"MAD2L1BP",1.2738312723269,5.30717747949284,186.180339343136,1.0157872442314e-18,1.35472849817392e-16,1.32763392821044e-14
"ADM",2.70222267304018,6.74113193160866,185.628638509977,1.07838701445622e-18,1.42368871504473e-16,1.40945182789429e-14
"TNFAIP6",3.94593301726391,5.82748563287935,184.056170495561,1.28596989022342e-18,1.68076264652201e-16,1.68076264652201e-14
"ZNF438",2.14175092905136,5.64180460893281,183.915927352164,1.30112240350117e-18,1.68372968453073e-16,1.70056698137603e-14
"FZD5",2.64578437255719,0.843753698217346,183.601252219552,1.34109587763422e-18,1.71844344320384e-16,1.75281231206792e-14
"PML",2.86614063531051,8.53045316507681,182.661848181872,1.49258987646672e-18,1.89399511508932e-16,1.950814968542e-14
"CA12",3.4069512822551,-0.646922410432535,125.747208826594,1.79085931200823e-18,2.25062800076418e-16,2.34065312079475e-14
"MT2A",4.40122534610153,8.2948122224438,180.492883572366,1.89920497919732e-18,2.36405800743895e-16,2.4822609078109e-14
"H2BC18",3.08290423788436,3.74039166798193,180.61175505667,1.93293828154719e-18,2.3833493716813e-16,2.52635033398218e-14
"ZNF230",1.98386228835049,3.82158136788205,179.826391533735,2.06073081057029e-18,2.51717305552838e-16,2.69337516941537e-14
"PARP10",2.60738516764904,9.36901461432068,179.512477123291,2.11816812113601e-18,2.56337567993033e-16,2.76844573432476e-14
"EPHB2",3.45361974722204,3.7879959954741,179.805055514109,2.14876057899069e-18,2.5765413548081e-16,2.80843007674083e-14
"C1QB",4.37769496541879,5.26391493433942,178.967877356568,2.29221209994562e-18,2.72356474057174e-16,2.99592121462892e-14
"CEACAM1",3.70987679711915,7.13967334224759,177.647395139139,2.61375105783899e-18,3.07763300233834e-16,3.41617263259555e-14
"MRPS27",-1.1408206166654,5.00297088059455,176.51419374927,2.97203123335078e-18,3.46825430534774e-16,3.88444482198947e-14
"MT-ATP8",-2.24445524273639,8.17258050185391,176.150060110744,3.09450355257947e-18,3.55105315136682e-16,4.04451614322137e-14
"HMGB2",2.48559234231798,6.47081223793865,176.145815604241,3.09732256507894e-18,3.55105315136682e-16,4.04820059255818e-14
"TAP1",2.01194747478965,9.76560413902506,175.638607140778,3.27976761967087e-18,3.72752719905202e-16,4.28665627890983e-14
"CARD6",1.83850512464719,5.66383620775753,175.12158267922,3.4808619103884e-18,3.92197113523934e-16,4.54948651687763e-14
"SEPTIN4",5.04019273190441,5.60338895215423,175.147430743913,3.56520636334174e-18,3.98267069819457e-16,4.65972471688765e-14
"SP100",1.71526329628194,8.04882613453498,174.243532120808,3.84614899957239e-18,4.26009893427213e-16,5.02691674244112e-14
"SP110",1.94783149440034,8.14323673031586,174.168898181923,3.87917580112624e-18,4.2605737580437e-16,5.070082772072e-14
"SCARB2",2.14732044366436,5.87407507263656,173.835622751012,4.03262110469833e-18,4.39219648653393e-16,5.27063578384072e-14
"IL1RN",3.16014080358072,9.13961893622748,173.317268779996,4.27757526662908e-18,4.62048832519356e-16,5.5907908734842e-14
"TRIM25",2.24533279512199,9.08073878768928,173.019967155656,4.42646268155824e-18,4.74212026622674e-16,5.78538672479662e-14
"MYD88",1.37235287366446,9.2655709675488,172.34659940038,4.78395661704048e-18,5.08344008005846e-16,6.2526312984719e-14
"TRIM14",1.57334206501874,7.31159647017976,171.566900609674,5.2357215287703e-18,5.51861938556676e-16,6.84308803810278e-14
"MTF1",1.48187603006425,5.67323897380975,170.874876562975,5.67631560407377e-18,5.93515559561954e-16,7.41894449452442e-14
"SAMD9",3.10367949048807,6.87562563664998,170.691606764679,5.79875218590902e-18,6.01505484681197e-16,7.57896910698308e-14
"TRIM56",1.32488470810903,7.87866167639019,170.478038865638,5.94193920556375e-18,6.11505082021404e-16,7.76611454167183e-14
"GADD45B",1.82594353133126,7.22934414298432,170.236596672824,6.11159865670942e-18,6.24051519087438e-16,7.98785944431921e-14
"ASPRV1",2.58298701822215,5.87697556240036,170.113672430549,6.20492312181775e-18,6.28669342652387e-16,8.1098345202158e-14
"NEU1",1.07718114854908,6.1224279390192,169.12306327488,6.96172067868497e-18,6.99920686695482e-16,9.09896892704126e-14
